skipped_source,canonical_source,sha256,bytes,reason
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_159\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_158\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_157\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_156\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_155\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_154\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_153\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_152\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_151\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\FACTORY_REGRESSION_SUITE_V1\full_current\cases\case_150\python_engine\normalized_data.csv,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\reports\parity\case_001\pinets_supertrend_only\normalized_data.csv,9f1002bfc2ff5b237fc5379ed2fbf9e103f4843aa73a319de91456f4f49c60cb,571766,hash group count > 5; canonical is newest by mtime under highest-priority parent path
