symbol,segment,timeframe,expansion_mult,exit_variant,same_bar_both_mode,fee_scenario,filter_mode,direction_mode,bars_tested,start_date,end_date,final_equity,net_return_pct,max_drawdown_pct,buy_and_hold_return_pct,beats_buy_and_hold,total_trades,long_trades,short_trades,win_rate,profit_factor,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,return_dd_ratio,symbols,positive_symbols,aggregate_net_return_pct,aggregate_max_drawdown_pct,aggregate_trade_count,avg_win_rate,avg_return_dd_ratio,aggregate_profit_factor
BNBUSDT,full,1D,0.5,close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,16239819.834301347,162298.19834301347,-25.252817768989456,2374.77073325658,True,1441,700,741,50.45107564191533,1.7873906800367474,0.5826576211389001,2.6216349638859486,-1.4934439589410782,0.5826576211389001,6426.934207014166,5,5,1301427.4790133038,-27.214814776012606,7055,51.57592500262545,63363.38828328128,1.8562612288281848
BNBUSDT,full,1D,0.5,next_bar_close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,1183057.3261348847,11730.573261348847,-47.46296871639798,2374.77073325658,True,893,425,468,52.2956326987682,1.4894616967032688,0.6933561643346724,4.034610248039322,-2.9694740166279368,0.6933561643346724,247.1521183481313,5,5,47684.80787549857,-65.46120687105956,4377,51.93704668203534,686.4081099062389,1.5513898622721478
BNBUSDT,full,1D,0.5,previous_extreme_target_stop,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,0.37392617315411825,-99.99626073826846,-99.99628077089504,2374.77073325658,False,1441,700,741,29.285218598195694,0.2804816007618306,-0.6912272963677155,0.920099687424561,-1.3585285595280105,-0.6912272963677155,-0.9999997996662834,5,0,-99.97638368209263,-99.97652074859414,7055,30.71545486207844,-0.9999986283192097,0.30128424307133156
BNBUSDT,full,1D,0.5,atr_stop_time_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,68981.00473991169,589.8100473991168,-80.73237840184542,2374.77073325658,False,639,315,324,50.54773082942097,1.2684805103427041,0.5338175037736689,4.989559203753486,-4.020627335129752,0.5338175037736689,7.305743483281729,5,5,5755.237453916989,-67.37286951601043,3178,51.22912373359948,122.89174868960527,1.3689766257505347
BNBUSDT,full,1D,0.6,close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,2199590.16090382,21895.9016090382,-32.14406342192869,2374.77073325658,True,1264,602,662,50.0,1.636049224877128,0.49804278392641554,2.562136635748174,-1.5660510678953428,0.49804278392641554,681.1802640390763,5,5,107650.41391745093,-30.12735008732984,6301,50.82175318619137,4474.138483192986,1.6675612778562563
BNBUSDT,full,1D,0.6,next_bar_close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,482459.9930148209,4724.59993014821,-54.92152948796143,2374.77073325658,True,843,402,441,50.65243179122183,1.4262053272867485,0.6199900376724518,4.095883460202353,-2.947814028241654,0.6199900376724518,86.02455128610033,5,5,15016.841524878488,-65.99763209673627,4147,49.93085991924288,203.44795612091315,1.4502744527636084
BNBUSDT,full,1D,0.6,previous_extreme_target_stop,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,0.020548611937505304,-99.99979451388063,-99.99979499328623,2374.77073325658,False,1264,602,662,23.180379746835442,0.14250994532691713,-1.0148389768492931,0.7275999727553606,-1.5406212757516244,-1.0148389768492931,-0.9999999952059342,5,0,-99.99836312566124,-99.99836373126087,6301,23.752835146895272,-0.9999999939439874,0.1515514481195081
BNBUSDT,full,1D,0.6,atr_stop_time_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,309101.274321603,2991.0127432160302,-54.45313868060472,2374.77073325658,True,612,291,321,52.450980392156865,1.4362505687768432,0.7705552370645742,4.836646798330011,-3.7147210212385375,0.7705552370645742,54.92819726627398,5,5,3895.5824903878392,-66.61851079853936,3056,50.81815845059175,66.56951869520067,1.4001161085399545
BNBUSDT,full,1D,0.7,close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,607292.6828675625,5972.926828675625,-31.018629841994304,2374.77073325658,True,1098,521,577,47.63205828779599,1.5559072456016734,0.44782661336863844,2.631430590553733,-1.5383036128362382,0.44782661336863844,192.5593380204444,5,5,19624.512177343917,-34.1606298688092,5510,49.8105122319388,673.2575437341882,1.535543912165036
BNBUSDT,full,1D,0.7,next_bar_close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,333514.5604780211,3235.1456047802108,-39.67564727816085,2374.77073325658,True,783,372,411,48.65900383141762,1.424116212244512,0.6012455841516082,4.149055483630297,-2.761230962369239,0.6012455841516082,81.53983177890008,5,5,7309.076531862052,-62.93239445510949,3896,48.97537090782192,104.1366041671339,1.4084271216748971
