time,open,high,low,close
1685314800,28079.4,28252.8,28042.3,28055.7
1685318400,28055.8,28442.0,28055.7,28188.6
1685322000,28188.6,28213.4,28124.3,28160.0
1685325600,28160.0,28169.9,28080.6,28085.4
1685329200,28085.4,28128.5,27904.0,27947.9
1685332800,27948.0,27999.7,27845.9,27944.7
1685336400,27944.7,28040.0,27929.8,27983.3
1685340000,27983.3,28032.4,27975.0,28000.0
1685343600,28000.0,28000.0,27822.7,27895.0
1685347200,27895.0,27938.2,27834.8,27892.6
1685350800,27892.6,27936.1,27846.4,27932.6
1685354400,27932.6,27966.7,27730.0,27852.9
1685358000,27852.9,27933.0,27832.5,27908.1
1685361600,27908.1,27945.4,27850.3,27871.0
1685365200,27870.9,27936.0,27850.0,27892.8
1685368800,27892.8,27927.0,27651.0,27782.0
1685372400,27781.9,27838.8,27570.6,27622.1
1685376000,27622.0,27670.0,27530.0,27593.6
1685379600,27593.6,27734.4,27513.5,27682.0
1685383200,27682.1,27710.0,27593.1,27630.0
1685386800,27629.9,27689.6,27610.8,27624.0
1685390400,27624.1,27689.5,27613.3,27670.1
1685394000,27670.1,27710.0,27630.3,27653.4
1685397600,27653.5,27686.5,27533.8,27678.7
1685401200,27678.7,27803.5,27669.9,27722.0
1685404800,27722.1,27761.6,27569.3,27701.3
1685408400,27701.3,27789.3,27685.2,27756.3
1685412000,27756.4,27785.0,27708.1,27770.0
1685415600,27770.1,27933.0,27759.5,27815.0
1685419200,27815.0,27837.2,27751.4,27767.0
1685422800,27767.0,27768.4,27659.3,27741.7
1685426400,27741.8,27817.8,27737.0,27785.0
1685430000,27785.0,27839.3,27715.1,27721.0
1685433600,27721.1,27804.5,27697.1,27769.9
1685437200,27770.0,27887.0,27769.9,27840.0
1685440800,27840.1,28038.6,27840.1,27887.0
1685444400,27887.0,28028.8,27839.7,28005.9
1685448000,28005.8,28014.9,27772.5,27887.1
1685451600,27887.1,27957.6,27740.0,27788.0
1685455200,27787.9,27852.4,27607.1,27609.5
1685458800,27609.5,27728.6,27602.0,27665.0
1685462400,27665.0,27731.5,27530.0,27696.9
1685466000,27696.9,27765.8,27610.8,27684.3
1685469600,27684.4,27790.0,27650.3,27750.3
1685473200,27750.2,27849.8,27738.1,27836.4
1685476800,27836.4,27846.0,27734.4,27745.7
1685480400,27745.7,27832.7,27637.4,27710.1
1685484000,27710.0,27749.5,27636.0,27723.8
1685487600,27723.7,27732.2,27662.1,27680.1
1685491200,27680.0,27748.6,27648.0,27745.1
1685494800,27745.0,27825.0,27723.7,27726.7
1685498400,27726.6,27726.7,27550.0,27663.3
1685502000,27663.3,27683.5,27581.1,27646.5
1685505600,27646.5,27668.7,27222.0,27243.5
1685509200,27243.4,27264.8,27006.4,27080.5
1685512800,27080.4,27179.7,26942.0,27150.0
1685516400,27150.0,27194.9,27103.8,27150.4
1685520000,27150.4,27198.0,27095.0,27126.1
1685523600,27126.0,27151.7,27033.0,27120.1
1685527200,27120.1,27131.5,27027.1,27048.4
1685530800,27048.4,27123.1,26980.0,27087.9
1685534400,27087.9,27110.1,27051.9,27064.2
1685538000,27064.1,27219.6,27050.0,27104.0
1685541600,27103.9,27107.9,26835.5,27023.0
1685545200,27022.9,27059.0,26856.5,26900.1
1685548800,26900.0,26972.9,26826.0,26928.7
1685552400,26928.7,27077.0,26902.5,27044.3
1685556000,27044.4,27086.7,27006.1,27027.7
1685559600,27027.8,27121.1,26981.5,26999.5
1685563200,26999.5,27106.2,26992.0,27096.9
1685566800,27096.9,27108.8,27030.3,27081.9
1685570400,27081.9,27183.4,27068.9,27170.0
1685574000,27170.0,27290.0,27140.8,27201.1
1685577600,27201.1,27347.9,27008.1,27059.8
1685581200,27059.8,27155.7,27045.7,27065.5
1685584800,27065.5,27106.5,26621.3,26705.1
1685588400,26705.0,26829.0,26600.0,26768.6
1685592000,26768.6,26813.6,26742.0,26797.2
1685595600,26797.1,26858.7,26771.8,26842.9
1685599200,26843.0,26876.6,26762.0,26777.6
1685602800,26777.6,26856.0,26753.1,26790.2
1685606400,26790.1,26917.0,26776.7,26902.9
1685610000,26902.9,26945.4,26885.6,26896.9
1685613600,26896.9,26925.9,26845.0,26845.0
1685617200,26845.0,26898.2,26830.6,26881.7
1685620800,26881.6,26960.0,26773.2,26929.9
1685624400,26929.8,26955.1,26855.0,26881.7
1685628000,26881.8,26974.0,26817.6,26887.8
1685631600,26887.9,26939.9,26844.2,26884.2
1685635200,26884.2,27180.0,26780.0,27080.9
1685638800,27080.8,27130.0,26908.0,26947.9
1685642400,26947.9,27043.3,26929.1,26960.5
