timestamp_utc,open,high,low,close
2024-06-03 13:30:00+00:00,515.12517031,515.26149318,514.7356764,514.92068601
2024-06-03 13:40:00+00:00,514.94989805,515.25175583,514.67725231,514.83304988
2024-06-03 13:50:00+00:00,514.83304988,514.88173661,513.50390191,514.04432471
2024-06-03 14:00:00+00:00,514.05406206,515.30044257,513.70351754,513.70351754
2024-06-03 14:10:00+00:00,513.71325489,514.59935353,513.58666936,514.50198005
2024-06-03 14:20:00+00:00,514.4922427,514.61882823,514.0832741,514.3072331
2024-06-03 14:30:00+00:00,514.33644514,514.38513188,513.32376098,513.50877058
2024-06-03 14:40:00+00:00,513.49903323,513.89826449,512.53503581,512.62267194
2024-06-03 14:50:00+00:00,512.63240929,512.83689359,511.9021082,512.20396598
2024-06-03 15:00:00+00:00,512.21370333,512.45713703,511.60025042,512.3500262
2024-06-03 15:10:00+00:00,512.3500262,512.60319724,512.19422864,512.52529846
2024-06-03 15:20:00+00:00,512.54477316,512.76873215,512.3695009,512.5739852
2024-06-03 15:30:00+00:00,512.54477316,512.85636828,512.01895638,512.29160211
2024-06-03 15:40:00+00:00,512.27212742,512.46687437,511.91184555,512.11632986
2024-06-03 15:50:00+00:00,512.1260672,512.51556111,511.99948168,512.27212742
2024-06-03 16:00:00+00:00,512.27212742,512.59345989,511.60998777,511.79499738
2024-06-03 16:10:00+00:00,511.83394677,512.03843107,510.4317687,510.4317687
2024-06-03 16:20:00+00:00,510.4317687,510.60704095,509.89621457,510.19807235
2024-06-03 16:30:00+00:00,510.188335,510.49019278,509.59922546,510.45124339
2024-06-03 16:40:00+00:00,510.47071809,510.52914217,510.05201213,510.27597113
2024-06-03 16:50:00+00:00,510.23702174,510.29544583,509.46777127,510.03253744
2024-06-03 17:00:00+00:00,510.00332539,510.13964826,509.59435679,509.64304353
2024-06-03 17:10:00+00:00,509.62356883,510.19807235,508.87379306,510.12017357
2024-06-03 17:20:00+00:00,510.12017357,510.90889873,510.10069887,510.85047465
2024-06-03 17:30:00+00:00,510.860212,511.60025042,510.80178791,511.45419021
2024-06-03 17:40:00+00:00,511.43471551,511.77552268,511.34707938,511.59051308
2024-06-03 17:50:00+00:00,511.59051308,511.62946247,511.0646963,511.39576612
2024-06-03 18:00:00+00:00,511.40550347,511.89237086,511.30812999,511.61972512
2024-06-03 18:10:00+00:00,511.62946247,511.82420942,510.89916139,511.37629143
2024-06-03 18:20:00+00:00,511.37629143,511.97026964,511.30812999,511.31786734
2024-06-03 18:30:00+00:00,511.30812999,511.91184555,511.30812999,511.91184555
2024-06-03 18:40:00+00:00,511.93132025,512.32081416,511.75604799,512.09685516
2024-06-03 18:50:00+00:00,512.10659251,512.1260672,511.4931396,511.9410576
2024-06-03 19:00:00+00:00,511.9410576,512.30133946,511.75604799,511.99948168
2024-06-03 19:10:00+00:00,511.97026964,512.35976355,511.88263351,512.30133946
2024-06-03 19:20:00+00:00,512.29160211,512.67135868,512.20396598,512.42792498
2024-06-03 19:30:00+00:00,512.46687437,512.65188398,511.9215829,512.03843107
2024-06-03 19:40:00+00:00,512.04816842,512.64214663,511.97026964,512.60319724
2024-06-03 19:50:00+00:00,512.61293459,513.96642593,512.3500262,513.88852714
2024-06-04 13:30:00+00:00,512.63240929,512.93426707,511.96053229,512.49608642
2024-06-04 13:40:00+00:00,512.48634907,512.95374176,512.22344068,512.70543939
2024-06-04 13:50:00+00:00,512.72004542,512.88558033,512.16501659,512.66162133
2024-06-04 14:00:00+00:00,512.66162133,513.88852714,512.30133946,512.31107681
2024-06-04 14:10:00+00:00,512.32081416,513.0024285,511.93132025,512.7979442
2024-06-04 14:20:00+00:00,512.73952011,513.14848872,512.24291538,513.14848872
2024-06-04 14:30:00+00:00,513.11927667,513.52824528,512.46687437,513.01216585
2024-06-04 14:40:00+00:00,513.0219032,513.48929589,512.65188398,512.78820685
2024-06-04 14:50:00+00:00,512.7979442,513.07058993,512.01895638,512.10659251
2024-06-04 15:00:00+00:00,512.1260672,512.40845029,511.82420942,512.16501659
2024-06-04 15:10:00+00:00,512.20396598,512.5739852,511.89723953,512.44739968
2024-06-04 15:20:00+00:00,512.45713703,512.76873215,512.04816842,512.06277444
2024-06-04 15:30:00+00:00,512.04816842,512.07738046,511.34707938,511.75604799
2024-06-04 15:40:00+00:00,511.76578534,511.99948168,511.57103838,511.72683595
2024-06-04 15:50:00+00:00,511.75604799,511.96053229,511.43471551,511.46392756
2024-06-04 16:00:00+00:00,511.46879623,511.67814921,511.16206978,511.35681673
2024-06-04 16:10:00+00:00,511.34707938,511.60025042,511.23996856,511.48340225
2024-06-04 16:20:00+00:00,511.4736649,512.27212742,511.32760469,512.19422864
2024-06-04 16:30:00+00:00,512.20396598,512.24291538,511.84368412,512.18449129
2024-06-04 16:40:00+00:00,512.17475394,513.09980198,512.10659251,512.92452972
2024-06-04 16:50:00+00:00,512.89531767,512.91479237,512.1260672,512.63240929
2024-06-04 17:00:00+00:00,512.65188398,512.70057072,511.89237086,512.10659251
2024-06-04 17:10:00+00:00,512.11632986,512.83689359,512.10659251,512.78820685
2024-06-04 17:20:00+00:00,512.80768154,513.16796341,512.35976355,513.12901402
2024-06-04 17:30:00+00:00,513.15822606,513.25559954,512.52529846,512.75899481
2024-06-04 17:40:00+00:00,512.76873215,513.11927667,512.71030807,512.91479237
2024-06-04 17:50:00+00:00,512.94400441,513.23612485,512.72978276,513.0219032
2024-06-04 18:00:00+00:00,512.9829538,513.31402363,512.88558033,513.23612485
2024-06-04 18:10:00+00:00,513.2263875,514.35591984,513.11927667,514.20985962
2024-06-04 18:20:00+00:00,514.21959697,515.07648357,514.19038492,515.03753418
2024-06-04 18:30:00+00:00,515.04727153,515.10569561,514.54092944,514.79410048
2024-06-04 18:40:00+00:00,514.79410048,515.25175583,514.63830292,515.08622092
2024-06-04 18:50:00+00:00,515.08622092,515.23228113,514.35591984,514.4922427
2024-06-04 19:00:00+00:00,514.50198005,514.50198005,512.7784695,513.35297302
2024-06-04 19:10:00+00:00,513.35297302,513.86905245,513.31402363,513.57693202
2024-06-04 19:20:00+00:00,513.57693202,513.94695123,513.44060915,513.79115367
2024-06-04 19:30:00+00:00,513.80089101,513.91773919,513.16796341,513.50877058
2024-06-04 19:40:00+00:00,513.49903323,514.44355597,513.48929589,514.07353675
2024-06-04 19:50:00+00:00,514.0637994,514.7162017,514.0637994,514.44355597
2024-06-05 13:30:00+00:00,516.82920616,516.8778929,515.96258221,516.03074365
2024-06-05 13:40:00+00:00,516.0210063,516.56629777,515.96258221,516.01126895
2024-06-05 13:50:00+00:00,516.0210063,516.17680386,515.61203769,516.16706652
2024-06-05 14:00:00+00:00,516.15732917,516.16706652,514.86226192,515.13490766
2024-06-05 14:10:00+00:00,515.10569561,515.68019913,515.08622092,515.5730883
2024-06-05 14:20:00+00:00,515.5730883,516.47866164,515.52440157,516.33260143
2024-06-05 14:30:00+00:00,516.34233878,517.16027599,516.34233878,516.94605434
2024-06-05 14:40:00+00:00,516.99474107,517.11158925,516.54682308,516.92657964
