timestamp_utc,open,high,low,close
2024-06-03 13:30:00+00:00,191.34250086,192.07614568,190.85670902,191.64983856
2024-06-03 13:40:00+00:00,191.67958091,192.72056343,191.44164205,192.6511646
2024-06-03 13:50:00+00:00,192.66107872,192.88910346,192.05631744,192.44296809
2024-06-03 14:00:00+00:00,192.48262457,192.88910346,192.35374102,192.5768087
2024-06-03 14:10:00+00:00,192.57185164,193.25592587,192.33391278,193.22618351
2024-06-03 14:20:00+00:00,193.21626939,193.31541059,193.02790113,193.16174174
2024-06-03 14:30:00+00:00,193.15678468,193.23609763,192.46279633,192.68090696
2024-06-03 14:40:00+00:00,192.69082107,193.22618351,192.56193752,192.77013403
2024-06-03 14:50:00+00:00,192.75030579,192.9089317,192.24567712,192.28434219
2024-06-03 15:00:00+00:00,192.27938513,192.35374102,191.91751978,192.05631744
2024-06-03 15:10:00+00:00,192.07614568,192.29425631,192.05631744,192.25459983
2024-06-03 15:20:00+00:00,192.25459983,192.76021991,192.25459983,192.46279633
2024-06-03 15:30:00+00:00,192.45288221,192.61150812,192.20502923,192.35374102
2024-06-03 15:40:00+00:00,192.3438269,192.72056343,192.24468571,192.24468571
2024-06-03 15:50:00+00:00,192.23477159,192.35374102,191.99683273,192.26451395
2024-06-03 16:00:00+00:00,192.25459983,192.42313986,192.04640333,192.26947101
2024-06-03 16:10:00+00:00,192.27442807,192.32399866,191.63992444,191.76880799
2024-06-03 16:20:00+00:00,191.76880799,191.85803506,191.58043972,191.63001032
2024-06-03 16:30:00+00:00,191.61018208,191.69940915,191.26318791,191.46147029
2024-06-03 16:40:00+00:00,191.45155617,191.68949503,191.37224322,191.56061148
2024-06-03 16:50:00+00:00,191.56556854,191.67958091,191.35241498,191.60026796
2024-06-03 17:00:00+00:00,191.59035384,191.63001032,191.43172793,191.5705256
2024-06-03 17:10:00+00:00,191.5705256,191.94726213,191.19378907,191.94726213
2024-06-03 17:20:00+00:00,191.93734801,192.15545864,191.79359329,192.10588804
2024-06-03 17:30:00+00:00,192.09597392,192.3933975,192.0860598,192.26451395
2024-06-03 17:40:00+00:00,192.26451395,192.37356926,192.14554452,192.19511511
2024-06-03 17:50:00+00:00,192.18520099,192.20502923,191.84812094,191.94726213
2024-06-03 18:00:00+00:00,191.95717625,191.99683273,191.67958091,191.8778633
2024-06-03 18:10:00+00:00,191.86794918,191.90760566,191.45155617,191.63992444
2024-06-03 18:20:00+00:00,191.63001032,191.74897975,191.43172793,191.45155617
2024-06-03 18:30:00+00:00,191.44164205,191.67958091,191.43172793,191.63001032
2024-06-03 18:40:00+00:00,191.6200962,191.85803506,191.38215734,191.42181381
2024-06-03 18:50:00+00:00,191.41685676,191.55069736,191.25327379,191.39207146
2024-06-03 19:00:00+00:00,191.39207146,191.49121265,191.29293027,191.35241498
2024-06-03 19:10:00+00:00,191.35241498,191.66470974,191.30284438,191.65975268
2024-06-03 19:20:00+00:00,191.65975268,191.79855035,191.60026796,191.69940915
2024-06-03 19:30:00+00:00,191.69940915,191.90760566,191.6200962,191.76880799
2024-06-03 19:40:00+00:00,191.76880799,191.99683273,191.75393681,191.97700449
2024-06-03 19:50:00+00:00,191.98691861,192.44296809,191.68949503,192.42313986
2024-06-04 13:30:00+00:00,192.94363111,193.3253247,192.02657509,192.05631744
2024-06-04 13:40:00+00:00,192.04640333,192.06623156,191.50112677,191.79855035
2024-06-04 13:50:00+00:00,191.79855035,191.97700449,191.38215734,191.52095501
2024-06-04 14:00:00+00:00,191.54078325,192.14554452,191.42181381,191.52095501
2024-06-04 14:10:00+00:00,191.51104089,192.25459983,191.43172793,192.20502923
2024-06-04 14:20:00+00:00,192.18520099,192.41322574,191.92743389,192.36365514
2024-06-04 14:30:00+00:00,192.35374102,192.73047755,191.99683273,192.24468571
2024-06-04 14:40:00+00:00,192.25459983,192.56689458,192.14554452,192.25459983
2024-06-04 14:50:00+00:00,192.26451395,192.57185164,192.26451395,192.51236693
2024-06-04 15:00:00+00:00,192.53219517,192.601594,192.29425631,192.37852632
2024-06-04 15:10:00+00:00,192.38348338,192.49253869,192.18520099,192.3438269
2024-06-04 15:20:00+00:00,192.35374102,192.61150812,192.33391278,192.38348338
2024-06-04 15:30:00+00:00,192.37356926,192.38348338,192.04640333,192.20502923
2024-06-04 15:40:00+00:00,192.21494335,192.49253869,192.19511511,192.42313986
2024-06-04 15:50:00+00:00,192.42313986,192.51236693,192.15545864,192.18520099
2024-06-04 16:00:00+00:00,192.18520099,192.54706635,192.18520099,192.46279633
2024-06-04 16:10:00+00:00,192.47271045,192.71064931,192.44296809,192.71064931
2024-06-04 16:20:00+00:00,192.70569225,192.81970462,192.61150812,192.79987639
2024-06-04 16:30:00+00:00,192.79987639,192.80979051,192.68090696,192.79987639
2024-06-04 16:40:00+00:00,192.78996227,193.14687056,192.78996227,193.05764349
2024-06-04 16:50:00+00:00,193.04772937,193.05764349,192.81474756,192.8593611
2024-06-04 17:00:00+00:00,192.8593611,192.89901758,192.72056343,192.88910346
2024-06-04 17:10:00+00:00,192.89901758,193.0675576,192.87918934,192.96841641
2024-06-04 17:20:00+00:00,192.96841641,193.14687056,192.9089317,193.13199938
2024-06-04 17:30:00+00:00,193.14687056,193.18652704,192.75030579,192.80979051
2024-06-04 17:40:00+00:00,192.80979051,193.04772937,192.79987639,192.99320171
2024-06-04 17:50:00+00:00,192.99320171,193.04772937,192.77013403,192.89901758
2024-06-04 18:00:00+00:00,192.9089317,193.0675576,192.86927522,193.05764349
2024-06-04 18:10:00+00:00,193.05764349,193.51369297,193.01798701,193.31541059
2024-06-04 18:20:00+00:00,193.3253247,193.64257652,193.31541059,193.56326357
2024-06-04 18:30:00+00:00,193.55334945,193.64257652,193.26583999,193.34515294
2024-06-04 18:40:00+00:00,193.34515294,193.51369297,193.26583999,193.40463766
2024-06-04 18:50:00+00:00,193.40463766,193.46412237,192.96841641,192.99815877
2024-06-04 19:00:00+00:00,192.98824465,193.02790113,192.26451395,192.53219517
2024-06-04 19:10:00+00:00,192.52228105,192.82961874,192.48262457,192.71064931
2024-06-04 19:20:00+00:00,192.70073519,192.87918934,192.67099284,192.83953286
2024-06-04 19:30:00+00:00,192.83953286,192.97833053,192.66603578,192.78004815
2024-06-04 19:40:00+00:00,192.78996227,193.19644115,192.75030579,193.10721408
