asset,timeframe,parameter_set,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,gross_return_pct,net_return_pct,holding_bars,exit_reason,equity_before,equity_after,strategy_id
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-05-11 00:00:00+00:00,2020-05-13 00:00:00+00:00,8724.974645999999,9304.048818,6.63697254714064,6.556972547140641,3,rule_exit,10000.0,10655.697254714063,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-05-21 00:00:00+00:00,2020-05-27 00:00:00+00:00,9509.9016,9195.480536,-3.3062493937897286,-3.3862493937897287,7,rule_exit,10655.697254714063,10294.86877102224,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-06-01 00:00:00+00:00,2020-06-01 00:00:00+00:00,9448.379298,10230.433504,8.277125434258803,8.197125434258803,1,rule_exit,10294.86877102224,11138.752077475272,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-06-03 00:00:00+00:00,2020-06-04 00:00:00+00:00,9516.80298,9786.372334,2.8325620963942866,2.7525620963942865,2,rule_exit,11138.752077475272,11445.353145171188,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-06-06 00:00:00+00:00,2020-06-06 00:00:00+00:00,9618.563327999998,9662.0672,0.4522907477602089,0.3722907477602089,1,rule_exit,11445.353145171188,11487.963135979144,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-06-12 00:00:00+00:00,2020-06-15 00:00:00+00:00,9279.575544,9420.125598,1.5146172724557203,1.4346172724557205,4,rule_exit,11487.963135979144,11652.771439381248,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-06-19 00:00:00+00:00,2020-06-22 00:00:00+00:00,9383.866398,9685.052602,3.2096173498824765,3.1296173498824764,4,rule_exit,11652.771439381248,12017.458596090271,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-08-03 00:00:00+00:00,2020-08-05 00:00:00+00:00,11082.91614,11750.1495,6.020377232593566,5.9403772325935655,3,rule_exit,12017.458596090271,12731.340970468778,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-08-10 00:00:00+00:00,2020-08-10 00:00:00+00:00,11688.327198,11894.510622,1.764011397929388,1.6840113979293885,1,rule_exit,12731.340970468778,12945.738203520728,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-08-12 00:00:00+00:00,2020-08-13 00:00:00+00:00,11394.918527999998,11787.642,3.446478981266843,3.3664789812668428,2,rule_exit,12945.738203520728,13381.553759112086,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-08-19 00:00:00+00:00,2020-08-24 00:00:00+00:00,11964.422406,11750.94934,-1.7842321071257603,-1.8642321071257604,6,rule_exit,13381.553759112086,13132.090537502423,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-08-26 00:00:00+00:00,2020-08-28 00:00:00+00:00,11329.445436,11524.54463,1.7220542267678995,1.6420542267678997,3,rule_exit,13132.090537502423,13347.726585236473,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-09-03 00:00:00+00:00,2020-09-07 00:00:00+00:00,11398.719288,10376.684248,-8.966226943372035,-9.046226943372035,5,rule_exit,13347.726585236473,12140.260946555178,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-10-17 00:00:00+00:00,2020-10-18 00:00:00+00:00,11321.773902,11498.79978,1.5635878222999056,1.4835878222999055,2,rule_exit,12140.260946555178,12320.372379553704,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-11-03 00:00:00+00:00,2020-11-03 00:00:00+00:00,13544.25831,14013.74669,3.4663277180218,3.3863277180218,1,rule_exit,12320.372379553704,12737.580564406033,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-11-08 00:00:00+00:00,2020-11-08 00:00:00+00:00,14827.294866,15470.10536,4.335318747009009,4.255318747009009,1,rule_exit,12737.580564406033,13279.60521807858,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-11-10 00:00:00+00:00,2020-11-11 00:00:00+00:00,15331.785744,15687.101952,2.317513523426662,2.237513523426662,2,rule_exit,13279.60521807858,13576.738180690762,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-11-16 00:00:00+00:00,2020-11-16 00:00:00+00:00,15955.120386,16703.728586,4.691962090470181,4.611962090470181,1,rule_exit,13576.738180690762,14202.892198706611,QL_LINDA_5SMA_RS_PULLBACK_v0
BTCUSDT,1D,"{""stop_mode"": ""none""}",long,2020-11-24 00:00:00+00:00,2020-11-24 00:00:00+00:00,18385.746414,19175.804072,4.297120389947295,4.217120389947295,1,rule_exit,14202.892198706611,14801.845261580504,QL_LINDA_5SMA_RS_PULLBACK_v0
