asset,timeframe,parameter_set,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,gross_return_pct,net_return_pct,holding_bars,exit_reason,equity_before,equity_after,strategy_id
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-05-07 00:00:00+00:00,2020-05-10 00:00:00+00:00,9150.119658,8774.589731000002,-4.104098536806255,-4.184098536806256,4,stop,10000.0,9581.590146319377,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-05-15 00:00:00+00:00,2020-05-21 00:00:00+00:00,9789.577524,8879.2617924,-9.298825504658216,-9.378825504658217,7,stop,9581.590146319377,8682.949525924554,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-08-06 00:00:00+00:00,2020-08-26 00:00:00+00:00,11754.8505,11463.926756,-2.474925087307589,-2.554925087307589,21,time_exit,8682.949525924554,8461.106670168452,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-09-11 00:00:00+00:00,2020-10-01 00:00:00+00:00,10337.977182,10610.507474,2.6362051995483027,2.5562051995483026,21,time_exit,8461.106670168452,8677.389918810628,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-10-28 00:00:00+00:00,2020-11-17 00:00:00+00:00,13632.615978,17666.475997999998,29.589772252880508,29.509772252880506,21,time_exit,8677.389918810628,11238.067921346055,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-11-21 00:00:00+00:00,2020-11-26 00:00:00+00:00,18666.58257,17211.3260462,-7.7960522143930895,-7.87605221439309,6,stop,11238.067921346055,10352.95182397188,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-11-29 00:00:00+00:00,2020-12-19 00:00:00+00:00,17721.283548,23842.510544,34.54166838096124,34.46166838096124,21,time_exit,10352.95182397188,13920.751749189749,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2020-12-26 00:00:00+00:00,2021-01-15 00:00:00+00:00,24734.935998,36747.888952,48.56674363326161,48.48674363326161,21,time_exit,13920.751749189749,20670.47096164216,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2021-02-07 00:00:00+00:00,2021-02-27 00:00:00+00:00,39257.379906,46093.409474,17.413361728084165,17.333361728084164,21,time_exit,20670.47096164216,24253.358464322195,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2021-03-08 00:00:00+00:00,2021-03-28 00:00:00+00:00,51001.54827,55793.918984,9.396520059801716,9.316520059801716,21,time_exit,24253.358464322195,26512.92747082639,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2021-04-27 00:00:00+00:00,2021-05-13 00:00:00+00:00,53995.136868,46501.4088578,-13.878523965074196,-13.958523965074196,17,stop,26512.92747082639,22812.11413596835,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
BTCUSDT,1D,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",long,2021-10-02 00:00:00+00:00,2021-10-22 00:00:00+00:00,48133.554786,60722.123146,26.15341504688009,26.07341504688009,21,time_exit,22812.11413596835,28760.011335607374,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0
