strategy_id,fee_scenario,trade_count,profit_factor,net_return_pct,max_drawdown_pct,avg_trade_pct,win_rate,longest_losing_streak,fee_monotonic_check
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,base,208,2.0173175646630512,6800.762947611895,-70.2176462506088,4.957899914250875,30.76923076923077,8,True
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2x,208,1.9896553900421572,5745.950298350838,-71.90165806803472,4.877899914250874,30.76923076923077,8,True
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,3x,208,1.9626079727693748,4851.699240679013,-73.49173088628716,4.797899914250875,30.76923076923077,8,True
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,5x,208,1.9102772191220612,3451.203302395207,-76.41045347100183,4.637899914250874,30.76923076923077,8,True
QL_LINDA_5SMA_RS_PULLBACK_v0,base,559,1.6051211584400942,6622.868323807262,-59.27794278017725,0.9960064034759791,68.33631484794276,6,True
QL_LINDA_5SMA_RS_PULLBACK_v0,2x,559,1.5479953541544866,4206.801343035122,-60.91832242850443,0.9160064034759791,67.26296958855099,6,True
QL_LINDA_5SMA_RS_PULLBACK_v0,3x,559,1.4923963793895132,2658.034452896586,-63.965195061084955,0.836006403475979,66.90518783542039,6,True
QL_LINDA_5SMA_RS_PULLBACK_v0,5x,559,1.3860911041248405,1029.85368333114,-69.72905651018284,0.6760064034759791,66.54740608228981,6,True
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,base,302,1.5857792934159083,3195.407590370015,-89.47217309692064,1.743714043104258,59.60264900662252,7,True
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2x,302,1.5528738391193118,2491.3704287151754,-89.68705987402298,1.663714043104258,59.27152317880795,9,True
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,3x,302,1.5206445856326125,1937.350116627881,-89.89775353316534,1.583714043104258,58.94039735099338,9,True
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,5x,302,1.4579461351720218,1158.5917599900818,-90.30687235096143,1.423714043104258,57.284768211920536,9,True
