strategy_id,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,trade_count,best_asset,worst_asset,median_asset,positive_assets,dominant_asset_profit_share_pct,asset_concentration_warning,holdout_pf,holdout_net_return_pct,fee_2x_pf,fee_3x_pf,fee_5x_pf,parameter_stability,tail_outlier_warning,final_classification,classification_reason
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2.0173175646630512,6800.762947611889,-70.2176462506088,208,BNBUSDT,ETHUSDT,XRPUSDT,4,29.76729898006604,False,0.8927529911224804,-70.77019755347733,1.9896553900421572,1.9626079727693748,1.9102772191220612,STABLE,True,STAGE2_WEAK,"holdout weak, drawdown high, tail outlier concentration"
QL_LINDA_5SMA_RS_PULLBACK_v0,1.6051211584400942,6622.868323807262,-59.27794278017726,559,ETHUSDT,XRPUSDT,SOLUSDT,4,26.102336214927153,False,1.302608892062327,72.07899120727643,1.5479953541544866,1.4923963793895132,1.3860911041248405,OVERFIT_RISK,False,STAGE2_WEAK,"drawdown high, parameter overfit risk"
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,1.5857792934159083,3195.407590370013,-89.47217309692066,302,XRPUSDT,ETHUSDT,BTCUSDT,4,26.35939202814159,False,1.50339594695108,459.56720926424737,1.5528738391193118,1.5206445856326125,1.4579461351720218,STABLE,False,STAGE2_WEAK,drawdown high
