year,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
2019,1,1,0.0,-3.575,0.0,0.0,0.0,-3.575,-3.575,0.0,-3.575,-3.575,0.0,0.0,0.0,True,DATA_BLOCKED
2020,86,10,2.5384,2775.159,-37.8238,73.3708,43.0233,5.1259,-2.4018,19.6587,-5.8479,5.1259,26.3566,2.4717,2.4075,True,WEAK_CANDIDATE
2021,82,10,1.7815,829.164,-73.8487,11.2279,36.5854,5.3515,-4.9352,33.3434,-10.7977,5.3515,24.9593,1.7556,1.7301,True,WEAK_CANDIDATE
2022,61,10,0.4761,-86.244,-85.286,-1.0112,26.2295,-2.7431,-4.7848,9.5059,-7.0984,-2.7431,25.5191,0.4625,0.4494,True,REJECT
2023,119,10,1.9042,1127.0861,-38.1447,29.5476,36.1345,2.8958,-2.7391,16.877,-5.0146,2.8958,21.5966,1.8465,1.7913,True,WEAK_CANDIDATE
2024,118,10,1.1374,-16.513,-77.5746,-0.2129,27.1186,0.5591,-3.5336,17.0618,-5.5815,0.5591,22.4576,1.1056,1.0752,True,REJECT
2025,89,10,1.4988,155.3076,-48.985,3.1705,29.2135,1.7479,-3.0195,17.979,-4.9506,1.7479,21.6854,1.4534,1.4101,True,WEAK_CANDIDATE
2026,28,10,0.0156,-81.5121,-80.6582,-1.0106,7.1429,-5.7904,-5.9348,1.2872,-6.3348,-5.7904,18.2143,0.0139,0.013,True,REJECT
