tv_seq,tv_side,tv_entry_time,tv_exit_time,tv_entry_price,tv_exit_price,tv_qty,tv_reason,py_seq,py_side,py_entry_time,py_exit_time,py_entry_price,py_exit_price,py_qty,py_reason,side_match,reason_match,entry_time_diff_min,exit_time_diff_min,entry_price_diff,exit_price_diff,qty_diff,entry_price_match,exit_price_match,qty_match,all_price_qty_match,all_core_match
1,SHORT,2025-06-30 07:45:00+00:00,2025-06-30 15:45:00+00:00,107562.1,107499.6,0.232422,BE,1,SHORT,2025-06-30 07:45:00+00:00,2025-06-30 15:45:00+00:00,107562.1,107500.43189466972,0.232422,BE,True,True,0.0,0.0,0.0,0.8318946697108913,0.0,True,False,True,False,True
2,SHORT,2025-06-30 07:45:00+00:00,2025-06-30 15:45:00+00:00,107562.1,107499.6,0.232423,BE,2,SHORT,2025-06-30 07:45:00+00:00,2025-06-30 15:45:00+00:00,107562.1,107500.43189466972,0.232422,BE,True,True,0.0,0.0,0.0,0.8318946697108913,-1.000000000001e-06,True,False,False,False,True
3,SHORT,2025-06-30 15:45:00+00:00,2025-07-02 08:15:00+00:00,107525.1,107417.4,0.138623,BE,3,SHORT,2025-06-30 15:45:00+00:00,2025-07-02 08:15:00+00:00,107525.1,107417.42346520972,0.138726,BE,True,True,0.0,0.0,0.0,0.023465209727874026,0.00010299999999999199,True,True,False,False,True
4,SHORT,2025-06-30 15:45:00+00:00,2025-07-02 08:15:00+00:00,107525.1,107417.4,0.138624,BE,4,SHORT,2025-06-30 15:45:00+00:00,2025-07-02 08:15:00+00:00,107525.1,107417.42346520972,0.138726,BE,True,True,0.0,0.0,0.0,0.023465209727874026,0.00010199999999999099,True,True,False,False,True
5,LONG,2025-07-02 08:15:00+00:00,2025-07-03 09:15:00+00:00,107596.9,109938.2,0.232349,TP1,5,LONG,2025-07-02 08:15:00+00:00,2025-07-03 09:15:00+00:00,107596.9,109937.6678048125,0.232349,TP1,True,True,0.0,0.0,0.0,-0.5321951874939259,0.0,True,False,True,False,True
6,LONG,2025-07-02 08:15:00+00:00,2025-07-04 04:45:00+00:00,107596.9,108921.3,0.23235,TRAIL,6,LONG,2025-07-02 08:15:00+00:00,2025-07-04 04:45:00+00:00,107596.9,108921.32146345831,0.232349,TRAIL,True,True,0.0,0.0,0.0,0.02146345830988139,-1.000000000001e-06,True,True,False,False,True
7,LONG,2025-07-04 04:45:00+00:00,2025-07-04 13:30:00+00:00,108938.7,108318.6,0.229487,SL,7,LONG,2025-07-04 04:45:00+00:00,2025-07-04 13:30:00+00:00,108938.7,108318.68640012947,0.229487,SL,True,True,0.0,0.0,0.0,0.08640012946852949,0.0,True,True,True,True,True
8,LONG,2025-07-04 04:45:00+00:00,2025-07-04 13:30:00+00:00,108938.7,108318.6,0.229488,SL,8,LONG,2025-07-04 04:45:00+00:00,2025-07-04 13:30:00+00:00,108938.7,108318.68640012947,0.229487,SL,True,True,0.0,0.0,0.0,0.08640012946852949,-1.000000000001e-06,True,True,False,False,True
9,SHORT,2025-07-04 13:30:00+00:00,2025-07-05 04:15:00+00:00,108324.5,108256.6,0.219209,BE,9,SHORT,2025-07-04 13:30:00+00:00,2025-07-05 04:15:00+00:00,108324.5,108256.52239454928,0.219209,BE,True,True,0.0,0.0,0.0,-0.07760545072960667,0.0,True,True,True,True,True
10,SHORT,2025-07-04 13:30:00+00:00,2025-07-05 04:15:00+00:00,108324.5,108256.6,0.21921,BE,10,SHORT,2025-07-04 13:30:00+00:00,2025-07-05 04:15:00+00:00,108324.5,108256.52239454928,0.219209,BE,True,True,0.0,0.0,0.0,-0.07760545072960667,-1.000000000001e-06,True,True,False,False,True
11,SHORT,2025-07-05 04:15:00+00:00,2025-07-06 13:45:00+00:00,108327.8,108967.3,0.230779,SL,11,SHORT,2025-07-05 04:15:00+00:00,2025-07-06 13:45:00+00:00,108327.8,108967.2132070184,0.2307789999999999,SL,True,True,0.0,0.0,0.0,-0.08679298160132021,-1.1102230246251565e-16,True,True,True,True,True
12,SHORT,2025-07-05 04:15:00+00:00,2025-07-06 13:45:00+00:00,108327.8,108967.3,0.23078,SL,12,SHORT,2025-07-05 04:15:00+00:00,2025-07-06 13:45:00+00:00,108327.8,108967.2132070184,0.2307789999999999,SL,True,True,0.0,0.0,0.0,-0.08679298160132021,-1.0000000001120224e-06,True,True,False,False,True
13,LONG,2025-07-06 15:45:00+00:00,2025-07-06 23:30:00+00:00,108857.3,108924.5,0.229659,BE,13,LONG,2025-07-06 15:45:00+00:00,2025-07-06 23:30:00+00:00,108857.3,108924.5324883194,0.229659,BE,True,True,0.0,0.0,0.0,0.03248831939708907,0.0,True,True,True,True,True
14,LONG,2025-07-06 15:45:00+00:00,2025-07-06 23:30:00+00:00,108857.3,108924.5,0.22966,BE,14,LONG,2025-07-06 15:45:00+00:00,2025-07-06 23:30:00+00:00,108857.3,108924.5324883194,0.229659,BE,True,True,0.0,0.0,0.0,0.03248831939708907,-1.000000000001e-06,True,True,False,False,True
15,LONG,2025-07-06 23:30:00+00:00,2025-07-07 13:00:00+00:00,109110.0,108191.0,0.217886,SL,15,LONG,2025-07-06 23:30:00+00:00,2025-07-07 13:00:00+00:00,109110.0,108191.0909782596,0.217886,SL,True,True,0.0,0.0,0.0,0.09097825959906913,0.0,True,True,True,True,True
16,LONG,2025-07-06 23:30:00+00:00,2025-07-07 13:00:00+00:00,109110.0,108191.0,0.217887,SL,16,LONG,2025-07-06 23:30:00+00:00,2025-07-07 13:00:00+00:00,109110.0,108191.0909782596,0.217886,SL,True,True,0.0,0.0,0.0,0.09097825959906913,-1.000000000001e-06,True,True,False,False,True
17,SHORT,2025-07-07 13:00:00+00:00,2025-07-07 19:15:00+00:00,108233.1,108170.4,0.230981,BE,17,SHORT,2025-07-07 13:00:00+00:00,2025-07-07 19:15:00+00:00,108233.1,108170.39539962648,0.230981,BE,True,True,0.0,0.0,0.0,-0.004600373518769629,0.0,True,True,True,True,True
18,SHORT,2025-07-07 13:00:00+00:00,2025-07-07 19:15:00+00:00,108233.1,108170.4,0.230982,BE,18,SHORT,2025-07-07 13:00:00+00:00,2025-07-07 19:15:00+00:00,108233.1,108170.39539962648,0.230981,BE,True,True,0.0,0.0,0.0,-0.004600373518769629,-1.000000000001e-06,True,True,False,False,True
19,SHORT,2025-07-07 19:15:00+00:00,2025-07-09 12:00:00+00:00,108144.5,109249.0,0.13594,SL,19,SHORT,2025-07-07 19:15:00+00:00,2025-07-09 12:00:00+00:00,108144.5,109248.92408829504,0.13594,SL,True,True,0.0,0.0,0.0,-0.07591170496016275,0.0,True,True,True,True,True
20,SHORT,2025-07-07 19:15:00+00:00,2025-07-09 12:00:00+00:00,108144.5,109249.0,0.13594,SL,20,SHORT,2025-07-07 19:15:00+00:00,2025-07-09 12:00:00+00:00,108144.5,109248.92408829504,0.13594,SL,True,True,0.0,0.0,0.0,-0.07591170496016275,0.0,True,True,True,True,True
21,LONG,2025-07-09 12:00:00+00:00,2025-07-09 14:30:00+00:00,109350.5,108797.0,0.228623,SL,21,LONG,2025-07-09 12:00:00+00:00,2025-07-09 14:30:00+00:00,109350.5,108797.04887189396,0.228623,SL,True,True,0.0,0.0,0.0,0.04887189395958558,0.0,True,True,True,True,True
22,LONG,2025-07-09 12:00:00+00:00,2025-07-09 14:30:00+00:00,109350.5,108797.0,0.228624,SL,22,LONG,2025-07-09 12:00:00+00:00,2025-07-09 14:30:00+00:00,109350.5,108797.04887189396,0.228623,SL,True,True,0.0,0.0,0.0,0.04887189395958558,-1.000000000001e-06,True,True,False,False,True
23,LONG,2025-07-09 19:15:00+00:00,2025-07-10 17:00:00+00:00,110316.0,113421.7,0.193166,TP1,23,LONG,2025-07-09 19:15:00+00:00,2025-07-10 17:00:00+00:00,110316.0,113421.1333977324,0.193166,TP1,True,True,0.0,0.0,0.0,-0.5666022676014109,0.0,True,False,True,False,True
24,LONG,2025-07-09 19:15:00+00:00,2025-07-10 21:15:00+00:00,110316.0,116010.1,0.193166,TP2,24,LONG,2025-07-09 19:15:00+00:00,2025-07-10 21:15:00+00:00,110316.0,116009.57789584273,0.193166,TP2,True,True,0.0,0.0,0.0,-0.5221041572804097,0.0,True,False,True,False,True
25,LONG,2025-07-10 21:15:00+00:00,2025-07-14 05:15:00+00:00,115690.6,122603.1,0.086793,TP1,25,LONG,2025-07-10 21:15:00+00:00,2025-07-14 05:15:00+00:00,115690.6,122602.57958817866,0.086793,TP1,True,True,0.0,0.0,0.0,-0.5204118213441689,0.0,True,False,True,False,True
26,LONG,2025-07-10 21:15:00+00:00,2025-07-15 01:45:00+00:00,115690.6,118689.8,0.086793,TRAIL,26,LONG,2025-07-10 21:15:00+00:00,2025-07-15 01:45:00+00:00,115690.6,118689.84694121424,0.086793,TRAIL,True,True,0.0,0.0,0.0,0.04694121424108744,0.0,True,True,True,True,True
27,SHORT,2025-07-15 03:45:00+00:00,2025-07-16 09:15:00+00:00,117208.7,119106.1,0.0791,SL,27,SHORT,2025-07-15 03:45:00+00:00,2025-07-16 09:15:00+00:00,117208.7,119106.01000799597,0.0790999999999999,SL,True,True,0.0,0.0,0.0,-0.08999200403923169,-9.71445146547012e-17,True,True,True,True,True
28,SHORT,2025-07-15 03:45:00+00:00,2025-07-16 09:15:00+00:00,117208.7,119106.1,0.079101,SL,28,SHORT,2025-07-15 03:45:00+00:00,2025-07-16 09:15:00+00:00,117208.7,119106.01000799597,0.0790999999999999,SL,True,True,0.0,0.0,0.0,-0.08999200403923169,-1.0000000000981446e-06,True,True,False,False,True
29,LONG,2025-07-16 09:15:00+00:00,2025-07-17 01:30:00+00:00,119142.8,118123.4,0.196392,SL,29,LONG,2025-07-16 09:15:00+00:00,2025-07-17 01:30:00+00:00,119142.8,118123.43177270886,0.1963919999999999,SL,True,True,0.0,0.0,0.0,0.0317727088695392,-1.1102230246251565e-16,True,True,True,True,True
30,LONG,2025-07-16 09:15:00+00:00,2025-07-17 01:30:00+00:00,119142.8,118123.4,0.196393,SL,30,LONG,2025-07-16 09:15:00+00:00,2025-07-17 01:30:00+00:00,119142.8,118123.43177270886,0.1963919999999999,SL,True,True,0.0,0.0,0.0,0.0317727088695392,-1.0000000001120224e-06,True,True,False,False,True
31,LONG,2025-07-17 01:30:00+00:00,2025-07-17 20:00:00+00:00,118257.4,118403.3,0.136637,BE,31,LONG,2025-07-17 01:30:00+00:00,2025-07-17 20:00:00+00:00,118257.4,118403.32309654455,0.1366369999999999,BE,True,True,0.0,0.0,0.0,0.0230965445516631,-1.1102230246251565e-16,True,True,True,True,True
32,LONG,2025-07-17 01:30:00+00:00,2025-07-17 20:00:00+00:00,118257.4,118403.3,0.136637,BE,32,LONG,2025-07-17 01:30:00+00:00,2025-07-17 20:00:00+00:00,118257.4,118403.32309654455,0.1366369999999999,BE,True,True,0.0,0.0,0.0,0.0230965445516631,-1.1102230246251565e-16,True,True,True,True,True
33,LONG,2025-07-17 20:00:00+00:00,2025-07-18 08:30:00+00:00,118761.7,118915.1,0.129924,BE,33,LONG,2025-07-17 20:00:00+00:00,2025-07-18 08:30:00+00:00,118761.7,118915.18533096292,0.1299239999999999,BE,True,True,0.0,0.0,0.0,0.0853309629164869,-1.1102230246251565e-16,True,True,True,True,True
