,SLINGSHOT,CRABEL,BIGBELUGA,LINDA_5SMA,MARTIN_LUKE
SLINGSHOT,1.0,0.1564494280385801,0.14005463575644386,0.17905009212100984,0.29294984300773064
CRABEL,0.1564494280385801,1.0,0.06246262604152193,0.09762645369629434,0.1799708513528705
BIGBELUGA,0.14005463575644386,0.06246262604152193,1.0,-0.007153922001949528,0.0386570360049002
LINDA_5SMA,0.17905009212100984,0.09762645369629434,-0.007153922001949528,1.0,0.0755557869791915
MARTIN_LUKE,0.29294984300773064,0.1799708513528705,0.0386570360049002,0.0755557869791915,1.0
