asset,timeframe,exists,path,bar_count,first_ts,last_ts,duplicate_count,missing_count,quality
LINKUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\15m\BINANCE_FUTURES_LINKUSDT_15m_20200117_20260427.csv,220061,2020-01-17 08:00:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
DOTUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\15m\BINANCE_FUTURES_DOTUSDT_15m_20200822_20260427.csv,199137,2020-08-22 07:00:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
LTCUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\15m\BINANCE_FUTURES_LTCUSDT_15m_20200109_20260427.csv,220832,2020-01-09 08:00:00+00:00,2026-04-27 15:45:00+00:00,0,0,PASS
TRXUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\15m\BINANCE_FUTURES_TRXUSDT_15m_20200115_20260427.csv,220253,2020-01-15 08:00:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
APTUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\15m\BINANCE_FUTURES_APTUSDT_15m_20221019_20260427.csv,123512,2022-10-19 02:00:00+00:00,2026-04-27 15:45:00+00:00,0,0,PASS
ARBUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\15m\BINANCE_FUTURES_ARBUSDT_15m_20230323_20260427.csv,108577,2023-03-23 15:00:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
NEARUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\15m\BINANCE_FUTURES_NEARUSDT_15m_20201015_20260427.csv,193949,2020-10-15 08:00:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
OPUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\OPUSDT\15m\BINANCE_FUTURES_OPUSDT_15m_20220601_20260427.csv,136901,2022-06-01 14:00:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
POLUSDT,15m,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\POLUSDT\15m\BINANCE_FUTURES_POLUSDT_15m_20240913_20260427.csv,56748,2024-09-13 12:15:00+00:00,2026-04-27 15:00:00+00:00,0,0,PASS
BTCUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\BTCUSDT\5m\BINANCE_FUTURES_BTCUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
