Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
20,Entry short,2025-07-07 13:00:00,Short,108476.6,0.230463,24999.842665800003,-6.28,-0.03,225.21,0.9,-41.25,-0.16,-457.86,-4.58
21,Exit short,2025-07-08 08:45:00,BE,108395.6,0.202981,22017.146088999998,-2.71,-0.01,208.18,0.95,-10.02,-0.05,-469.37,-4.69
21,Entry short,2025-07-08 01:30:00,Short,108469.0,0.202981,22017.146088999998,-2.71,-0.01,208.18,0.95,-10.02,-0.05,-469.37,-4.69
22,Exit short,2025-07-08 08:45:00,BE,108395.6,0.202981,22017.146088999998,-2.71,-0.01,208.18,0.95,-10.02,-0.05,-463.28,-4.63
22,Entry short,2025-07-08 01:30:00,Short,108469.0,0.202981,22017.146088999998,-2.71,-0.01,208.18,0.95,-10.02,-0.05,-463.28,-4.63
23,Exit short,2025-07-08 14:45:00,SL,109025.3,0.23054,24999.803708,-154.94,-0.62,51.74,0.21,-144.89,-0.58,-628.22,-6.28
23,Entry short,2025-07-08 08:45:00,Short,108440.2,0.23054,24999.803708,-154.94,-0.62,51.74,0.21,-144.89,-0.58,-628.22,-6.28
24,Exit short,2025-07-08 14:45:00,SL,109025.3,0.230541,24999.912148199997,-154.94,-0.62,51.74,0.21,-144.89,-0.58,-773.16,-7.73
24,Entry short,2025-07-08 08:45:00,Short,108440.2,0.230541,24999.912148199997,-154.94,-0.62,51.74,0.21,-144.89,-0.58,-773.16,-7.73
25,Exit long,2025-07-08 15:45:00,SL,108303.4,0.229404,25000.0120524,-174.72,-0.7,1.81,0.01,-164.78,-0.66,-957.88,-9.58
25,Entry long,2025-07-08 14:45:00,Long,108978.1,0.229404,25000.0120524,-174.72,-0.7,1.81,0.01,-164.78,-0.66,-957.88,-9.58
26,Exit long,2025-07-08 15:45:00,SL,108303.4,0.229405,25000.121030500002,-174.72,-0.7,1.81,0.01,-164.78,-0.66,-1122.6,-11.23
26,Entry long,2025-07-08 14:45:00,Long,108978.1,0.229405,25000.121030500002,-174.72,-0.7,1.81,0.01,-164.78,-0.66,-1122.6,-11.23
27,Exit short,2025-07-09 13:00:00,SL,109287.9,0.157805,17096.0098215,-163.9,-0.96,39.76,0.23,-157.01,-0.92,-1293.34,-12.93
27,Entry short,2025-07-08 15:45:00,Short,108336.3,0.157805,17096.0098215,-163.9,-0.96,39.76,0.23,-157.01,-0.92,-1293.34,-12.93
28,Exit short,2025-07-09 13:00:00,SL,109287.9,0.157806,17096.1181578,-163.91,-0.96,39.76,0.23,-157.01,-0.92,-1450.41,-14.5
28,Entry short,2025-07-08 15:45:00,Short,108336.3,0.157806,17096.1181578,-163.91,-0.96,39.76,0.23,-157.01,-0.92,-1450.41,-14.5
29,Exit long,2025-07-09 15:30:00,SL,108797.0,0.228623,25000.0393615,-146.49,-0.59,78.71,0.31,-136.54,-0.55,-1606.9,-16.07
29,Entry long,2025-07-09 13:00:00,Long,109350.5,0.228623,25000.0393615,-146.49,-0.59,78.71,0.31,-136.54,-0.55,-1606.9,-16.07
30,Exit long,2025-07-09 15:30:00,SL,108797.0,0.228624,25000.148712,-146.49,-0.59,78.71,0.31,-136.54,-0.55,-1743.39,-17.43
