timestamp,position,active_stop,realized_points,unrealized_points,debug_total_points
2026-01-01T09:00:00,0,,0.0,0.0,0.0
2026-01-01T09:01:00,0,,0.0,0.0,0.0
2026-01-01T09:02:00,0,,0.0,0.0,0.0
2026-01-01T09:03:00,0,,0.0,0.0,0.0
2026-01-01T09:04:00,0,,0.0,0.0,0.0
2026-01-01T09:05:00,0,,0.0,0.0,0.0
2026-01-01T09:06:00,0,,0.0,0.0,0.0
2026-01-01T09:07:00,0,,0.0,0.0,0.0
2026-01-01T09:08:00,0,,0.0,0.0,0.0
2026-01-01T09:09:00,0,,0.0,0.0,0.0
2026-01-01T09:10:00,0,,0.0,0.0,0.0
2026-01-01T09:11:00,0,,0.0,0.0,0.0
2026-01-01T09:12:00,0,,0.0,0.0,0.0
2026-01-01T09:13:00,0,,0.0,0.0,0.0
2026-01-01T09:14:00,0,,0.0,0.0,0.0
2026-01-01T09:15:00,0,,0.0,0.0,0.0
2026-01-01T09:16:00,0,,0.0,0.0,0.0
2026-01-01T09:17:00,0,,0.0,0.0,0.0
2026-01-01T09:18:00,0,,0.0,0.0,0.0
2026-01-01T09:19:00,0,,0.0,0.0,0.0
2026-01-01T09:20:00,0,,0.0,0.0,0.0
2026-01-01T09:21:00,0,,0.0,0.0,0.0
2026-01-01T09:22:00,0,,0.0,0.0,0.0
2026-01-01T09:23:00,0,,0.0,0.0,0.0
2026-01-01T09:24:00,0,,0.0,0.0,0.0
2026-01-01T09:25:00,0,,0.0,0.0,0.0
2026-01-01T09:26:00,0,,0.0,0.0,0.0
2026-01-01T09:27:00,0,,0.0,0.0,0.0
2026-01-01T09:28:00,0,,0.0,0.0,0.0
2026-01-01T09:29:00,0,,0.0,0.0,0.0
2026-01-01T09:30:00,0,,0.0,0.0,0.0
2026-01-01T09:31:00,0,,0.0,0.0,0.0
2026-01-01T09:32:00,0,,0.0,0.0,0.0
2026-01-01T09:33:00,0,,0.0,0.0,0.0
2026-01-01T09:34:00,0,,0.0,0.0,0.0
2026-01-01T09:35:00,0,,0.0,0.0,0.0
2026-01-01T09:36:00,0,,0.0,0.0,0.0
2026-01-01T09:37:00,0,,0.0,0.0,0.0
2026-01-01T09:38:00,0,,0.0,0.0,0.0
2026-01-01T09:39:00,0,,0.0,0.0,0.0
2026-01-01T09:40:00,0,,0.0,0.0,0.0
2026-01-01T09:41:00,0,,0.0,0.0,0.0
2026-01-01T09:42:00,0,,0.0,0.0,0.0
2026-01-01T09:43:00,0,,0.0,0.0,0.0
2026-01-01T09:44:00,0,,0.0,0.0,0.0
2026-01-01T09:45:00,0,,0.0,0.0,0.0
2026-01-01T09:46:00,0,,0.0,0.0,0.0
2026-01-01T09:47:00,0,,0.0,0.0,0.0
2026-01-01T09:48:00,0,,0.0,0.0,0.0
2026-01-01T09:49:00,0,,0.0,0.0,0.0
2026-01-01T09:50:00,0,,0.0,0.0,0.0
2026-01-01T09:51:00,0,,0.0,0.0,0.0
2026-01-01T09:52:00,0,,0.0,0.0,0.0
2026-01-01T09:53:00,0,,0.0,0.0,0.0
2026-01-01T09:54:00,0,,0.0,0.0,0.0
2026-01-01T09:55:00,0,,0.0,0.0,0.0
2026-01-01T09:56:00,0,,0.0,0.0,0.0
2026-01-01T09:57:00,0,,0.0,0.0,0.0
2026-01-01T09:58:00,0,,0.0,0.0,0.0
2026-01-01T09:59:00,0,,0.0,0.0,0.0
2026-01-01T10:00:00,-1,101.97,0.0,0.0,0.0
2026-01-01T10:01:00,1,94.0,-3.7,0.0,-3.7
2026-01-01T10:02:00,0,,-8.4,0.0,-8.4
