trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,parameter_set,timeframe
8345,17,87717197095011.94,1.2526,48.9275,0.7825,-0.1959,0.7825,7.9323,-6.067,-99.2108,884149814061.9427,2.7028,2.7028,DOTUSDT,TRXUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 0.7}",1D
8771,17,375906356.0333,1.2379,47.7825,0.7507,-0.3525,0.7507,8.1762,-6.0441,-99.9734,3760062.3343,2.9999,2.9999,DOGEUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 1.1}",1D
5770,17,6143599381.2843,1.2325,50.6239,0.7006,0.0997,0.7006,7.3364,-6.103,-99.1519,61961473.8265,2.6438,2.6438,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 0.9}",1D
10237,17,992352437.5035,1.2296,46.498,0.2791,-0.1793,0.2791,3.2143,-2.2718,-88.3608,11230681.0232,0.0,0.0,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 1.0}",1D
7436,17,2192874.2718,1.2294,47.7945,0.7299,-0.37,0.7299,8.185,-6.0953,-99.9905,21930.8303,2.9999,2.9999,AVAXUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 1.2}",1D
6733,17,11105218816.1406,1.2195,50.5124,0.6646,0.092,0.6646,7.3101,-6.1186,-99.1155,112043178.8877,2.6525,2.6525,BNBUSDT,OPUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 0.8}",1D
13920,17,3.5130209748522624e+16,1.2147,49.3463,0.6652,-0.1035,0.6652,7.6268,-6.1168,-98.15,357923786614832.4,2.6763,2.6763,SOLUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 0.8}",1D
7187,17,316339541.8729,1.2104,48.2538,0.6657,-0.2863,0.6657,7.9374,-6.1152,-99.4737,3180133.6023,2.6986,2.6986,APTUSDT,BNBUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 0.8}",1D
11942,17,2265505315794.305,1.2014,49.3468,0.633,-0.0998,0.633,7.6537,-6.2066,-98.6363,22968262163.4912,2.663,2.663,APTUSDT,LINKUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 0.9}",1D
8345,17,5699415.0354,1.189,45.716,0.2269,-0.2102,0.2269,3.1212,-2.2107,-78.2658,72821.2322,0.0,0.0,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""close_exit"", ""range_mult"": 0.7}",1D
4987,17,668028.743,1.1837,49.7293,0.5724,-0.0389,0.5724,7.4178,-6.1993,-99.8749,6688.6529,2.617,2.617,ETHUSDT,LTCUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 1.0}",1D
6172,17,36775.8628,1.1745,48.1529,0.5699,-0.3513,0.5699,7.9655,-6.2988,-99.9171,368.0636,2.6808,2.6808,APTUSDT,ETHUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 0.9}",1D
10237,17,16462145.1906,1.1738,48.6178,0.5571,-0.2219,0.5571,7.7407,-6.24,-99.9866,164643.455,2.6418,2.6418,NEARUSDT,LINKUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 1.0}",1D
8771,17,142137.9751,1.1678,45.4224,0.2141,-0.2226,0.2141,3.2808,-2.3382,-92.5493,1535.809,0.0,0.0,OPUSDT,SOLUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 1.1}",1D
5250,17,2363.9331,1.1648,47.5619,0.5426,-0.3989,0.5426,8.0614,-6.277,-99.9867,23.6425,2.6653,2.6653,APTUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 1.0}",1D
4282,17,11256.196,1.1613,48.8323,0.5145,-0.1989,0.5145,7.5854,-6.2336,-99.7296,112.8671,2.5829,2.5829,ETHUSDT,LTCUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 1.1}",1D
7436,17,8832.4221,1.1522,45.468,0.1996,-0.2338,0.1996,3.3239,-2.4054,-93.6075,94.356,0.0,0.0,OPUSDT,LINKUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 1.2}",1D
8771,17,-62.1282,1.1334,47.5658,0.4412,-0.4026,0.4412,7.8832,-6.3099,-99.9989,-0.6213,2.6166,2.6166,OPUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 1.1}",1D
8345,17,-99.837,1.1317,48.3883,0.4167,-0.2641,0.4167,7.397,-6.1277,-100.0,-0.9984,2.9999,2.9999,ARBUSDT,BNBUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""time3"", ""range_mult"": 0.7}",1D
3617,17,-15.0239,1.1235,48.825,0.4027,-0.2802,0.4027,7.5041,-6.3727,-99.9516,-0.1503,2.5488,2.5488,NEARUSDT,LINKUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 1.2}",1D
4489,17,-99.6665,1.1085,46.3578,0.3712,-0.5867,0.3712,8.1825,-6.3793,-100.0,-0.9967,2.6487,2.6487,OPUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 1.1}",1D
7436,17,-99.93,1.1071,47.2969,0.3608,-0.4582,0.3608,7.8839,-6.3906,-100.0,-0.9993,2.5937,2.5937,OPUSDT,LINKUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 1.2}",1D
7187,17,-99.9994,1.1018,47.7111,0.3251,-0.3391,0.3251,7.3739,-6.1066,-100.0,-1.0,2.9999,2.9999,APTUSDT,BNBUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""time3"", ""range_mult"": 0.8}",1D
3819,17,-99.9177,1.0926,45.8497,0.3211,-0.6034,0.3211,8.2668,-6.4067,-100.0,-0.9992,2.6363,2.6363,ARBUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 1.2}",1D
7187,17,167.439,1.0891,44.7057,0.114,-0.2787,0.114,3.1165,-2.3135,-95.6546,1.7505,0.0,0.0,LINKUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""close_exit"", ""range_mult"": 0.8}",1D
6172,17,-100.0,1.0619,47.5535,0.2027,-0.427,0.2027,7.3111,-6.2426,-100.0,-1.0,2.9998,2.9998,APTUSDT,DOGEUSDT,True,CRABEL,"{""direction"": ""short"", ""exit"": ""time3"", ""range_mult"": 0.9}",1D
5250,17,-100.0,1.0534,46.9714,0.176,-0.4623,0.176,7.3905,-6.2145,-100.0,-1.0,2.9998,2.9998,APTUSDT,DOGEUSDT,True,CRABEL,"{""direction"": ""short"", ""exit"": ""time3"", ""range_mult"": 1.0}",1D
6172,17,-97.9418,1.031,43.989,0.041,-0.3201,0.041,3.1025,-2.3634,-99.7113,-0.9823,0.0,0.0,LINKUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""close_exit"", ""range_mult"": 0.9}",1D
4489,17,-100.0,1.0048,46.0236,0.0161,-0.6069,0.0161,7.3646,-6.2496,-100.0,-1.0,3.0,3.0,AVAXUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""time3"", ""range_mult"": 1.1}",1D
5250,17,-99.9176,0.982,43.0667,-0.0249,-0.352,-0.0249,3.1621,-2.4357,-99.9895,-0.9993,0.0,0.0,POLUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""close_exit"", ""range_mult"": 1.0}",1D
3819,17,-100.0,0.977,45.6664,-0.0783,-0.6034,-0.0783,7.2757,-6.2591,-100.0,-1.0,3.0,3.0,AVAXUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""time3"", ""range_mult"": 1.2}",1D
4489,17,-99.9938,0.9321,42.1252,-0.0989,-0.4209,-0.0989,3.2203,-2.5148,-99.9992,-0.9999,0.0,0.0,OPUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""close_exit"", ""range_mult"": 1.1}",1D
3819,17,-99.9967,0.9007,41.7125,-0.15,-0.4445,-0.15,3.2625,-2.5921,-99.9994,-1.0,0.0,0.0,TRXUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""close_exit"", ""range_mult"": 1.2}",1D
